Name,Price,Stars,Score,SpokenLanguages,Reviews,Location,Sparkling clean,NewlyBuilt,ExcellentView,Check In 24/7,AirportTransfer,Front Desk,Valet Parking,Free WiFi In All Rooms,Swimming Pool,Bar,Coffee,DailyHousekeeping,Golf,Kids club,Booked today,Real Guest Cleanlines Score,Real Guest Facilities Score,Real Guest Location Score,Real Guest Service Score,Real Guest Value for money Score,Origin
Asia Hotel Bangkok (SHA Plus+),119,4.0,7.9,"English, Thai",27771,"296 Phayathai Road, Siam, Bangkok, Thailand, 10400",0,0,1,1,0,1,0,1,1,1,1,1,0,0,176.0,7.6,7.5,9.1,7.5,7.6,Bangkok
Rembrandt Hotel & Suites (SHA Plus+),89,4.5,8.3,"English, Thai",6001,"19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,0,1,1,1,0,0,32.0,8.5,8.1,8.4,8.3,8.6,Bangkok
Dream Hotel Bangkok (SHA Plus+),77,4.5,8.4,"English, Thai",16109,"10 Sukhumvit Soi 15, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,1,0,31.0,8.8,8.1,8.5,8.4,8.7,Bangkok
VIX Bangkok @ Victory Monument,68,3.0,9.2,"English, Chinese [Mandarin], Thai",1439,"13-15 Thanon Ratchawithi, Chatuchak, Bangkok, Thailand, 10400",1,0,0,0,0,1,0,1,0,0,1,1,0,0,24.0,9.3,9.0,9.5,9.4,9.3,Bangkok
The Berkeley Hotel Pratunam (SHA Plus+),238,5.0,8.2,"English, Chinese [Mandarin], Thai",61617,"559 Ratchathewi, Pratunam, Bangkok, Thailand, 10400",0,0,0,1,1,1,0,1,0,1,1,1,0,0,128.0,8.3,8.1,8.8,8.2,8.1,Bangkok
Ambassador Hotel Bangkok (SHA Plus+),120,4.0,7.2,"English, Thai",22016,"171 Sukhumvit Rd., Soi 11, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,0,1,0,1,1,1,1,1,0,0,99.0,7.0,6.9,8.4,6.8,6.9,Bangkok
Grand President Bangkok (SHA Plus+),133,4.0,7.1,"English, Chinese [Mandarin], Thai",12027,"16 Sukhumvit Soi 11 , Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,18.0,6.8,6.7,8.3,7.1,7.0,Bangkok
Solitaire Bangkok Sukhumvit 11,83,4.5,8.2,"English, Thai",9231,"75/23 Soi Sukhumvit 13 Sukhumvit Road, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,1,1,1,1,0,0,25.0,8.6,8.1,8.1,8.5,8.2,Bangkok
Grand 5 Hotel & Plaza Sukhumvit (SHA Extra Plus),82,4.0,7.9,"English, Thai",3004,"87 Sukhumvit Road Soi 5, Klongtoey Nua, Wattana, Bangkok, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,0,1,1,1,0,0,25.0,8.1,7.3,8.6,7.9,7.6,Bangkok
Mövenpick Hotel Sukhumvit 15 Bangkok,96,5.0,8.3,"English, Thai",3768,"Soi Sukhumvit 15, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,34.0,8.7,8.2,7.9,8.4,8.6,Bangkok
Asia Hotel Bangkok (SHA Plus+),121,4.0,7.9,"English, Thai",27771,"296 Phayathai Road, Siam, Bangkok, Thailand, 10400",0,0,1,1,0,1,0,1,1,1,1,1,0,0,176.0,7.6,7.5,9.1,7.5,7.6,Bangkok
JC KEVIN SATHORN BANGKOK HOTEL (SHA Plus+),194,5.0,8.1,"English, Chinese [Mandarin], Thai",9358,"36 Narathiwas-Ratchanakarin Road, Yannawa, Sathorn, Bangkok, Sathorn, Bangkok, Thailand, 10120",0,0,1,1,1,1,0,1,0,0,1,1,0,1,51.0,8.4,8.2,7.3,8.6,8.6,Bangkok
Centara Grand at Central World Hotel (SHA Plus+),630,5.0,8.7,"English, Arabic, Chinese [Mandarin], Dutch, Filipino, French, German, Indonesian, Japanese, Korean, Thai",17550,"999/99 Rama 1 Road, Patumwan, Siam, Bangkok, Thailand, 10330",0,0,1,1,1,1,1,1,0,1,1,1,0,0,17.0,8.8,8.7,9.3,8.5,8.7,Bangkok
Divalux Resort and Spa Bangkok Suvarnabhumi Airport (SHA Plus+),125,5.0,7.7,"English, Thai",2422,"88 Moo 3, Bang Sao Thong, Suvarnabhumi Airport, Bangkok, Thailand, 10570",0,0,0,1,1,1,1,1,0,1,1,1,0,0,15.0,8.0,8.1,7.1,8.0,8.1,Bangkok
Siam Eco Hostel,36,2.0,9.4,"English, Thai",1981,"486/106-107 Petchaburi Road, Thanon Petchaburi, Ratchathewi,, Siam, Bangkok, Thailand, 10400",1,0,0,0,0,0,0,1,0,0,0,1,0,0,30.0,9.5,9.2,9.7,9.6,9.5,Bangkok
Rembrandt Hotel & Suites (SHA Plus+),139,4.5,8.3,"English, Thai",6001,"19 Sukhumvit Soi 18, Klong Toei, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,0,1,1,1,0,0,32.0,8.5,8.1,8.4,8.3,8.6,Bangkok
Suvarnabhumi Ville Airport Hotel,73,4.0,7.5,"English, Chinese [Mandarin], Thai",3990,"9/9 Moo 7 Soi King Kaew 64 , Kingkaew Road, Rachathewa, Bangplee, Samutpakarn, Suvarnabhumi Airport, Bangkok, Thailand, 10540",0,0,1,0,1,1,0,1,0,1,1,1,1,0,25.0,8.1,7.8,8.4,8.3,8.1,Bangkok
NANA Hotel Bangkok,117,3.5,7.6,"English, Thai",7346,"4 Soi Nana Tai, Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,1,1,1,1,0,0,43.0,7.2,7.1,8.8,6.5,7.5,Bangkok
Grand Swiss Hotel Bangkok,129,4.0,8.0,"English, Hindi, Thai",3389,"155/23 Sukhumvit Soi 11 Near Nana BTS sky train, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,0,1,1,1,0,0,42.0,8.2,7.3,8.8,8.1,8.2,Bangkok
Dream Hotel Bangkok (SHA Plus+),136,4.5,8.4,"English, Thai",16109,"10 Sukhumvit Soi 15, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,1,0,31.0,8.8,8.1,8.5,8.4,8.7,Bangkok
Siam Mandarina Hotel (SHA Extra Plus),164,4.5,8.0,"English, Chinese [Mandarin], German, Thai",3837,"99 Moo 6 Kingkaew Road, Rachatewa, Bang Phli, Samut Prakan 10540, Suvarnabhumi Airport, Bangkok, Thailand, 10540",0,0,1,1,1,1,0,1,0,1,1,1,1,0,29.0,8.4,7.9,8.1,8.7,7.8,Bangkok
Aira Hotel Bangkok (SHA Plus+),274,4.0,8.2,"English, Thai",3773,"Sukhumvit 11, Sukhumvit, Bangkok, Thailand, 10110",0,1,0,1,1,1,0,1,1,1,1,1,0,0,37.0,8.3,7.9,8.4,8.0,8.1,Bangkok
Grande Centre Point Hotel Ratchadamri,149,5.0,8.7,"English, Thai",28073,"153/2 Soi Mahatlekluang 1, Ratchadamri Road, Lumpini, Pathumwan, Siam, Bangkok, Thailand, 10330",0,0,0,1,1,1,0,1,0,0,1,1,0,1,124.0,8.9,8.7,9.0,8.9,8.8,Bangkok
The Landmark Bangkok (SHA Plus+),62,5.0,8.9,"English, Thai",1812,"138 Sukhumvit Road, Sukhumvit, Bangkok, Thailand, 10110",1,0,0,1,0,1,1,1,1,1,1,1,0,0,12.0,9.2,8.9,9.3,9.3,8.5,Bangkok
Grand Fortune Hotel Bangkok (SHA Extra Plus),222,4.0,8.3,"English, Chinese [Cantonese], Chinese [Mandarin], Japanese, Thai",5579,"1 Rachadaphisek Road, Dindaeng, Ratchada, Bangkok, Thailand, 10400",0,0,0,1,1,1,0,1,0,1,1,1,0,0,34.0,8.3,8.2,9.0,7.6,8.3,Bangkok
Mint Hostel,12,3.0,6.3,"English, Chinese [Mandarin], Thai",512,"316/1 Samsen Soi 4 Baanpanthom, Khaosan, Bangkok, Thailand, 10200",0,0,0,1,1,1,0,1,0,0,0,1,0,0,18.0,5.6,5.4,7.1,6.5,6.6,Bangkok
Baiyoke Sky Hotel,168,4.0,8.6,"English, Burmese, Chinese [Cantonese], Chinese [Mandarin], Filipino, Japanese, Russian, Thai",40320,"222 Ratchaprarop Road, Ratchathewi, Pratunam, Bangkok, Thailand, 10400",0,0,1,0,1,1,0,1,0,1,1,1,1,0,68.0,7.6,7.7,8.4,7.6,7.8,Bangkok
Grande Centre Point Ploenchit,166,5.0,8.4,"English, Thai",163,"100 Wireless Road, Pathumwan, Siam, Bangkok, Thailand, 10330",0,0,0,0,1,1,0,1,0,0,0,1,0,0,35.0,8.7,8.2,8.8,8.5,8.6,Bangkok
Grande Centre Point Hotel Terminal 21,141,5.0,8.8,"English, Chinese [Mandarin], Japanese, Thai",28839,"2, Sukhumvit Soi 19 (Wattana), Sukhumvit Road, Klongtoey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",1,0,0,1,1,1,0,1,0,0,1,1,0,1,109.0,9.0,8.8,9.6,8.6,8.8,Bangkok
Grand BS Airport Hotel Suvarnabhumi,99,3.0,7.9,"English, Thai",5022,"836/11 Soi ladkrabang 30/4, Ladkrabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",0,0,0,1,1,1,0,1,1,0,0,1,0,0,68.0,8.4,8.1,8.5,8.1,8.2,Bangkok
Grande Centre Point Sukhumvit 55 Thong Lo (SHA Plus+),359,5.0,8.8,"English, Thai",10934,"300 Sukhumvit 55 (Thonglor), Sukhumvit Rd., Klongton Nua, Wattana , Bangkok, Sukhumvit, Bangkok, Thailand, 10110",1,0,0,1,0,1,0,1,0,0,1,1,0,1,50.0,9.3,9.0,8.5,9.0,8.9,Bangkok
Amari Watergate Bangkok,170,5.0,8.6,"English, Thai",14421,"847 Petchaburi Road, Pratunam, Rachatavi, Pratunam, Bangkok, Thailand, 10400",0,0,0,0,1,1,1,1,0,1,1,1,0,1,40.0,8.7,8.6,9.2,8.6,8.8,Bangkok
Sinsuvarn Airport Suite (SHA Plus+),91,4.0,7.3,"English, Lao, Thai",9591,"73 Soi Latkrabang 30, On-Nut Latkrabang Rd., Latkrabang, Suvarnabhumi Airport, Bangkok, Thailand, 10520",0,0,0,1,0,1,1,1,1,0,1,1,1,0,16.0,7.2,6.6,7.6,7.3,7.6,Bangkok
Novotel Bangkok Suvarnabhumi Airport Hotel,597,4.5,8.3,"English, Thai",9881,"999 Moo 1 Nongprue Bang Phli Samut Prakarn, Suvarnabhumi Airport, Bangkok, Thailand, 10540",0,0,0,1,0,1,1,1,0,1,1,1,1,1,13.0,8.7,8.3,9.3,8.5,8.4,Bangkok
Hotel Icon Bangkok Sukhumvit 2,141,4.0,8.1,"English, Thai",3398,"No.49 Sukhumvit Road Soi 2, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,0,1,1,1,1,0,13.0,8.4,7.7,8.1,8.5,8.4,Bangkok
IWISH Hotel Bangkok,137,3.0,8.5,"English, Thai",1317,"441/5 Ngamwongwan Rd. Tambon Bangkhen Mueng Nonthaburi Bangkok, Thailand 11000, Chatuchak, Bangkok, Thailand, 11000",0,0,0,1,1,1,0,1,0,0,1,1,0,0,14.0,9.0,8.3,8.9,8.6,8.6,Bangkok
The Bless Hotel & Residence,239,4.0,8.3,"English, Thai",5996,"10 Sukhumvit Soi 33, North Klongton, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,1,1,0,1,1,0,1,1,0,0,6.0,8.5,8.0,8.6,8.3,8.5,Bangkok
Citrus Sukhumvit 11 by Compass Hospitality,331,4.0,8.2,"English, Thai",1500,"26 Sukhumvit 11, Klongtoie Nue, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,0,0,0,1,1,0,8.0,8.7,7.8,8.0,8.3,8.7,Bangkok
Amari Don Muang Airport Bangkok Hotel,241,4.0,8.2,"English, Chinese [Mandarin], Thai",24128,"333 Moo 10, Chert Wudthakas Road, Srikan, Don Mueang International Airport, Bangkok, Thailand, 10210",0,0,1,1,1,1,0,1,1,0,1,1,1,0,33.0,8.2,8.1,9.1,8.1,8.2,Bangkok
The Quarter Silom by UHG (SHA Plus+),223,4.0,8.8,"English, Filipino, Thai",5652,"12 Suriyawong Soi Silom 6 (Soi Tarntawan), Suriyawong Subdistrict, Bang Rak, Bangkok, Silom, Bangkok, Thailand, 10500",1,0,0,1,1,1,0,1,1,0,1,1,0,0,24.0,9.1,8.7,8.9,9.0,8.9,Bangkok
Prince Palace Hotel Bangkok (SHA Plus+),117,4.0,7.5,"English, Thai",20544,"488/800 BoBae Tower, Damrongrak Road, Klong Mahanak, Pomprab, , Khaosan, Bangkok, Thailand, 10100",0,0,1,1,0,1,0,1,0,1,1,1,1,0,66.0,7.5,7.5,7.4,7.2,7.5,Bangkok
LiT BANGKOK Hotel (SHA Extra Plus),266,4.5,8.7,"English, Thai",3527,"36/1 Soi Kasemsan 1, Rama I Rd., Pathumwan, Siam, Bangkok, Thailand, 10330",1,0,0,1,1,1,0,1,1,1,1,1,0,0,12.0,9.1,8.5,9.0,8.9,8.9,Bangkok
The Quart Ruamrudee by UHG (SHA Extra Plus),155,4.0,8.4,"English, German, Thai",3303,"38/3 Ruamrudee, Ploenchit Road, Sukhumvit, Bangkok, Thailand, 10330",0,0,0,1,1,1,1,1,1,0,1,1,1,0,35.0,8.8,8.3,8.5,8.5,8.7,Bangkok
Pathumwan Princess Hotel (SHA Extra Plus),153,5.0,8.8,"English, Thai",18583,"444 Phayathai Road, Pathumwan, Siam, Bangkok, Thailand, 10330",0,0,0,1,1,1,1,1,0,1,1,1,0,0,23.0,8.9,8.8,9.3,8.7,8.8,Bangkok
Evergreen Place Siam by UHG (SHA Plus+),102,4.0,8.7,"English, Thai",7547,"318 Phaya Thai Road, Ratchathewi, Siam, Bangkok, Thailand, 10400",0,0,0,1,1,1,0,1,1,1,1,1,0,0,23.0,8.8,8.6,9.2,8.8,8.7,Bangkok
Holiday Inn Express Bangkok Siam (SHA Extra Plus),222,4.0,8.3,"English, Chinese [Mandarin], German, Korean, Russian, Thai, Vietnamese",9129,"889 Rama 1 Road, Wangmai, Pathumwan, Siam, Bangkok, Thailand, 10330",0,0,0,0,1,1,0,1,0,1,1,1,0,0,29.0,8.5,7.8,9.0,8.2,8.4,Bangkok
Galleria 12 Sukhumvit Bangkok by Compass Hospitality,127,4.0,8.0,"English, Thai",4990,"81/83 Sukhumvit Soi 12, Sukhumvit Road, Khlong Toei, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,1,1,1,1,1,0,33.0,8.2,7.6,7.9,7.8,8.4,Bangkok
Eleven Hotel Bangkok (SHA Plus+),172,4.0,8.5,"English, Thai",2039,"11 Sukhumvit Soi 11, Klongtoey-Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,0,1,1,1,1,0,25.0,8.7,8.4,8.8,8.7,8.5,Bangkok
Galleria 10 Sukhumvit by Compass Hospitality,149,4.0,8.1,"English, Thai",10951,"21, Sukhumvit Soi 10 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,20.0,8.3,7.8,8.2,8.2,8.3,Bangkok
Siam @ Siam Design Hotel Bangkok (SHA Extra Plus),191,4.5,8.6,"English, Chinese [Mandarin], Thai",9609,"865 Rama 1 Road, Opposite National Stadium, Wang Mai, Patumwan, Siam, Bangkok, Thailand",0,0,1,0,0,1,1,1,0,1,1,1,1,0,13.0,8.7,8.6,9.0,8.4,8.7,Bangkok
Sukhumvit Suites Hotel,149,3.0,8.1,"English, Thai",8188,"403-403/1, 407-407/1 Sukhumvit Road (Between Sukhumvit 21-23), Klongtoeynuea, Wattana,, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,0,1,0,1,1,1,0,0,26.0,8.2,7.2,9.3,8.2,8.1,Bangkok
Arte Hotel (SHA Plus+),221,4.0,8.4,"English, Chinese [Mandarin], Thai",10420,"29 Sukhumvit Soi 19, Khlongtoye-Nua ,Asok, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,31.0,8.4,8.0,8.8,8.8,8.4,Bangkok
Pullman Bangkok Grande Sukhumvit,430,5.0,8.5,"English, Chinese [Cantonese], Chinese [Mandarin], Hindi, Italian, Spanish, Thai",6307,"30 Sukhumvit 21 Asoke Road Klongtoey Nua Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,1,1,1,1,1,1,0,0,38.0,8.8,8.2,8.8,8.9,8.7,Bangkok
BelAire Bangkok Sukhumvit (SHA Extra Plus),179,4.0,7.9,"English, Arabic, Thai",4262,"16 Sukhumvit Road Soi 5 , Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,0,1,1,1,0,1,11.0,8.0,7.6,8.2,8.0,8.3,Bangkok
Justice Hotel,53,3.0,8.8,"English, Thai",684,"77 Ratchadapisek Road, Chomphon, Chatuchak Bangkok, Chatuchak, Bangkok, Thailand, 10900",1,0,0,1,0,1,0,1,0,1,1,1,0,0,17.0,9.2,8.6,8.8,9.0,9.1,Bangkok
Woraburi Sukhumvit Hotel,69,3.0,7.2,"English, Chinese [Mandarin], Korean, Thai",4735,"128/1 Sukhumvit Soi 4, Klongtoey Bangkok, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,0,1,0,1,1,1,0,1,1,0,24.0,7.2,6.8,7.4,7.1,7.3,Bangkok
Royal Benja Hotel (SHA Plus+),126,4.0,7.9,"English, Chinese [Mandarin], French, Japanese, Thai",2479,"39 Sukhumvit Rd, Soi 5, Wattana,, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,0,0,1,0,1,1,1,1,1,0,0,27.0,8.0,7.7,8.3,7.6,7.9,Bangkok
The Cottage Suvarnabhumi Hotel,105,3.5,7.7,"English, Chinese [Mandarin], Japanese, Thai",12445,"888/8 Lat Krabang Soi 20/2, Lat Krabang Road, Suvarnabhumi Airport, Bangkok, Thailand, 10520",0,0,0,1,1,1,0,1,1,1,0,1,0,0,38.0,7.7,7.2,7.9,7.9,8.0,Bangkok
COMO Metropolitan Bangkok (SHA Plus+),580,5.0,8.9,"English, Chinese [Mandarin], Thai",2608,"27 South Sathorn Road, Tungmahamek, Sathorn, Bangkok, Thailand, 10120",1,0,0,1,1,1,1,1,0,1,1,1,0,0,13.0,9.4,9.1,8.2,8.9,9.4,Bangkok
Mandarin Hotel Managed by Centre Point (SHA Plus+),184,4.0,8.6,"English, Chinese [Mandarin], Thai",11260,"662 RamaIV Road, Silom, Bangkok, Thailand, 10500",1,0,0,1,1,1,1,1,1,0,1,1,0,0,44.0,9.0,8.6,8.4,8.7,8.8,Bangkok
Mercure Bangkok Siam,300,4.0,8.5,"English, Chinese [Mandarin], French, Italian, Spanish, Thai",9832,"Rama 1 Wangmai, Siam, Bangkok, Thailand, 10330",0,0,1,1,0,1,0,1,1,1,1,1,1,0,10.0,8.8,8.3,9.3,8.6,8.5,Bangkok
Asoke Residence Sukhumvit by UHG,119,4.0,8.1,"English, Thai",4346,"235/20-25 Sukhumvit Soi 21 (Asoke), Klongtoey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,1,0,1,1,0,1,25.0,8.2,7.8,8.5,8.4,8.2,Bangkok
Best Western Sukhumvit 20,124,4.0,8.0,"English, Thai",8561,"17 Sukhumvit Soi 20, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,1,1,0,1,0,0,0,1,0,0,11.0,8.4,7.4,8.0,8.1,8.3,Bangkok
"Lucky Hotel Bangkok, Sukhumvit 26",196,3.0,8.9,"English, Malay, Thai",342,"49 Soi Sukhumvit 26 Khwaeng Khlong Tan, Sukhumvit, Bangkok, Thailand, 10110",1,0,0,1,0,1,0,1,0,0,0,1,0,0,17.0,9.4,8.3,9.1,9.4,9.3,Bangkok
Lancaster Bangkok (SHA Extra Plus),497,5.0,8.9,"English, Thai",3865,"1777 New Phetchaburi Road, Sukhumvit, Bangkok, Thailand, 10310",1,0,0,0,0,1,1,1,0,1,1,1,0,0,14.0,9.3,9.0,8.3,9.3,9.1,Bangkok
12 The Residence Hotel & Apartment (SHA Certified),93,3.0,8.9,"English, Thai",3496,"22 Soi Saranakom 10 Seekun Donmuang , Don Mueang International Airport, Bangkok, Thailand, 10210",1,0,0,1,0,1,0,1,0,1,1,1,0,0,82.0,9.3,9.0,8.8,9.2,9.2,Bangkok
Radisson Blu Plaza Bangkok (SHA Plus+),452,5.0,8.7,"English, French, Hindi, Thai",3269,"Bts Asoke / Mrt Sukhumvit, 489 Sukhumvit Road, Wattana, Klongtoey Nua, Sukhumvit, Bangkok, Thailand, 10110",1,0,0,0,1,1,1,1,0,1,1,1,0,0,0.0,9.0,8.7,8.9,8.9,8.7,Bangkok
Lohas Residences Sukhumvit (SHA Plus+),125,4.5,7.9,"English, Chinese [Mandarin], Japanese, Thai",3487,"75, Sukhumvit Soi 2, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,1,1,1,1,0,0,22.0,8.0,7.7,7.6,8.4,8.3,Bangkok
Akara Hotel Bangkok,297,5.0,8.4,"English, Chinese [Mandarin], Filipino, Thai",2923,"372 Sri Ayuttaya Road, Phyathai, Rajthevi, Pratunam, Bangkok, Thailand, 10400",0,0,1,1,1,1,1,1,1,1,1,1,0,0,21.0,8.8,8.3,8.2,8.8,8.5,Bangkok
"Fraser Suites Sukhumvit, Bangkok (SHA Plus+)",383,4.0,8.5,"English, Arabic, Japanese, Thai",2965,"38/8 Sukhumvit soi 11, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,1,1,1,1,0,1,0.0,8.7,8.4,8.4,8.6,8.7,Bangkok
The Sukosol (SHA Extra Plus),57,5.0,8.4,"English, Chinese [Mandarin], Japanese, Thai",6664,"477 Si Ayuthaya Road, Phaya Thai, Siam, Bangkok, Thailand, 10400",0,0,0,1,1,1,1,1,0,1,1,1,0,0,24.0,8.6,8.2,8.6,8.3,8.5,Bangkok
Novotel Bangkok Ploenchit Sukhumvit Hotel,70,4.5,8.5,"English, Thai",6660,"566 Ploenchit Road, Lumpini, Pathumwan, Sukhumvit, Bangkok, Thailand, 10330",0,0,0,1,1,1,0,1,0,1,1,1,1,0,16.0,8.8,8.1,9.0,8.5,8.6,Bangkok
Pillow and bread hostel,143,2.0,8.9,"English, Thai",1461,"4 Soi intamara 3 Khwaeng Samsen Nai phayathai, Chatuchak, Bangkok, Thailand, 10400",1,0,0,0,0,1,0,1,0,0,1,1,0,0,16.0,9.4,9.0,8.6,9.6,9.4,Bangkok
The Quarter Ladprao by UHG (SHA Plus+),212,4.0,9.0,"English, Chinese [Mandarin], Thai",11999,"80 Soi Ladprao 4 Ladprao Road Chomphon Chatujak Bangkok 10900, Ratchada, Bangkok, Thailand, 10900",1,0,0,1,0,1,0,1,1,1,1,1,0,0,39.0,9.2,9.0,9.4,9.0,9.1,Bangkok
Centre Point Sukhumvit 10 Hotel (SHA Extra Plus),226,4.0,8.3,"English, Thai",10678,"39, Sukhumvit Soi 10, Sukhumvit Road, Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,1,1,0,1,0,0,0,1,0,1,36.0,8.6,8.3,8.1,8.7,8.7,Bangkok
Nouvo City Hotel (SHA Plus+),60,4.0,8.4,"English, Thai",6458,"2 Samsen 2, Samsen Road, Banglumphu, Pranakorn, Khaosan, Bangkok, Thailand, 10200",0,0,0,1,1,1,1,1,1,0,1,1,0,0,38.0,8.6,8.2,8.7,8.3,8.6,Bangkok
Hotel Solo Sukhumvit 2 (SHA Extra Plus),117,4.0,8.0,"English, Thai",2566,"67 Sukhumvit Soi 2, Klong Toey, Sukhumvit, Bangkok, Thailand, 10100",0,0,0,0,1,1,0,1,1,0,1,1,0,0,10.0,8.5,7.6,7.9,8.4,8.4,Bangkok
Khaosan Palace Hotel (SHA Plus+),77,3.5,7.2,"English, Chinese [Cantonese], Thai",6469,"139 Khaosan Road, Khaosan, Bangkok, Thailand, 10200",0,0,1,0,0,1,0,1,1,1,1,1,0,0,30.0,7.3,7.0,8.4,6.8,6.9,Bangkok
ASAI Bangkok Chinatown,188,3.0,9.1,"English, Thai",2538,"531 Charoen Krung Road, Pom Prap, China Town, Bangkok, Thailand, 10100",1,0,0,1,0,1,0,1,0,1,1,1,0,0,36.0,9.6,8.9,9.6,9.2,9.2,Bangkok
Ruamchitt Plaza Hotel,105,3.0,7.8,"English, Thai",5668,"199, Sukhumvit Road (between Sukhumvit Soi 13 and Soi 15), Khlong Toei Nuea, Khet Watthana, Bangkok, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,0,1,0,1,1,1,1,1,1,0,26.0,7.7,7.1,8.9,6.8,8.1,Bangkok
Bandara Suites Silom (SHA Extra Plus),222,4.0,8.1,"English, Japanese, Thai",9902,"75/1 Saladaeng Road, Bangrak, Silom, Bangkok, Thailand, 10500",0,0,0,1,1,1,0,1,0,0,0,1,0,0,8.0,8.1,7.8,8.2,8.1,8.3,Bangkok
Best Comfort Bangkok Hotel,87,3.5,7.2,"English, Thai",8835,"49 Soi Sukhumvit 19, Wattana, Sukhumvit, Bangkok, Thailand, 10110",0,0,1,1,0,1,1,0,0,0,0,1,0,0,34.0,6.7,6.4,8.2,7.2,7.5,Bangkok
Holiday Inn Express Bangkok Sukhumvit 11 - Free Breakfast,188,4.0,7.9,"English, Chinese [Mandarin], Thai",5104,"30 Sukhumvit Soi 11, Klongtoey-Nua, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,0,1,0,1,1,1,0,0,6.0,8.1,7.3,8.3,8.3,8.3,Bangkok
Mercure Bangkok Sukhumvit 11,384,4.0,8.5,"English, Chinese [Mandarin], Thai",3596,"18 Sukhumvit Soi 11 Nana Khlongtoey, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,5.0,8.9,8.3,8.7,8.7,8.2,Bangkok
DoubleTree by Hilton Bangkok Ploenchit,283,4.5,8.3,"English, Chinese [Mandarin], Thai",6563,"12 Sukhumvit Soi 2, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,1,1,1,1,1,1,1,1,1,0,0,7.0,8.5,7.9,8.6,8.5,8.5,Bangkok
Amara Bangkok Hotel (SHA Plus+),297,4.5,8.7,"English, Thai",3881,"180/1 Surawong Road , Sipraya, Silom, Bangkok, Thailand, 10500",1,0,0,1,0,1,0,1,1,1,1,1,0,0,15.0,9.0,8.5,8.5,9.0,8.9,Bangkok
Twin Towers Hotel,87,4.0,7.5,"English, Chinese [Mandarin], Japanese, Thai",4993,"88 Rong Muang, Patumwan , Siam, Bangkok, Thailand, 10330",0,0,0,1,1,1,0,1,1,0,0,1,0,1,22.0,7.6,7.3,7.4,7.5,7.7,Bangkok
ibis Styles Bangkok Silom,213,3.5,8.9,"English, Chinese [Mandarin], Thai",2566,"289 Silom Road Silom Bangrak District, Silom, Bangkok, Thailand, 10500",1,0,0,1,0,1,0,1,0,1,1,1,1,0,17.0,9.3,8.8,9.3,9.2,9.0,Bangkok
ibis Bangkok Sukhumvit 4,131,3.0,7.9,"English, Thai",8271,"41 Sukhumvit Road Soi 4 Klongtoey, Sukhumvit, Bangkok, Thailand, 10110",0,0,0,0,0,1,0,1,0,1,1,1,0,0,10.0,8.3,7.3,8.1,7.9,8.0,Bangkok
